AHP;;;;
Menentukan Kriteria;Kode Kriteria;Kriteria;Bobot;Persentase
;KP;Kemudahan Penggunaan;0,11;11%
;K;Keamanan;0,25;25%
;L;Likuiditas;0,06;6%
;B;Biaya Transaksi;0,39;39%
;R;Reputasi Platform;0,16;16%
;D;Dukungan Pelanggan;0,03;3%
